Time_s	Heading_deg	Pitch_rad	Roll_rad	Yaw_rad	Lat	Long	Alt_m_AGL
1535745483.6	59.0	-0.0332628823817	-0.00714210234582	1.03027033806	34.909089	-111.4387442	-2.01
1535745483.71	59.0	-0.0332337655127	-0.00710897427052	1.03038096428	34.909089	-111.4387442	-2.0
1535745483.8	59.0	-0.0332518704236	-0.00712195737287	1.0304954052	34.9090889	-111.4387441	-2.0
1535745483.9	59.0	-0.033216111362	-0.00713328877464	1.03063333035	34.9090889	-111.4387441	-2.0
1535745484.01	59.0	-0.0332550443709	-0.00716902781278	1.03073346615	34.9090888	-111.4387441	-2.0
1535745484.1	59.0	-0.0332066901028	-0.00715535646304	1.03084886074	34.9090888	-111.4387441	-2.0
1535745484.21	59.0	-0.0332022234797	-0.00715541187674	1.0309920311	34.9090888	-111.4387441	-2.0
1535745484.31	59.0	-0.0331844352186	-0.00718115037307	1.03111088276	34.9090887	-111.4387442	-2.0
1535745484.4	59.0	-0.0331670641899	-0.0071844398044	1.03122651577	34.9090887	-111.4387442	-2.0
1535745484.51	59.0	-0.0331656821072	-0.00718933995813	1.0313564539	34.9090886	-111.4387442	-2.0
1535745484.6	59.0	-0.0331356190145	-0.00717828096822	1.03146064281	34.9090886	-111.4387442	-2.0
1535745484.7	59.0	-0.0331017337739	-0.00718895252794	1.03159940243	34.9090886	-111.4387442	-2.0
1535745484.81	59.0	-0.0330679565668	-0.00719714490697	1.03172397614	34.9090885	-111.4387442	-2.0
1535745484.91	59.0	-0.0330810248852	-0.0071669286117	1.03185725212	34.9090884	-111.4387442	-2.0
1535745485.0	59.0	-0.0330550633371	-0.0071479761973	1.0319621563	34.9090884	-111.4387442	-2.0
1535745485.11	59.0	-0.0330502688885	-0.00713974051178	1.03206980228	34.9090883	-111.4387442	-2.0
1535745485.21	59.0	-0.0330369248986	-0.00712978467345	1.03221011162	34.9090882	-111.4387442	-1.99
1535745485.3	59.0	-0.0330087430775	-0.00713367201388	1.03233611584	34.9090881	-111.4387443	-1.99
1535745485.41	59.0	-0.0330188348889	-0.00713103078306	1.03246235847	34.9090881	-111.4387443	-1.99
1535745485.51	59.0	-0.0330078937113	-0.00708491401747	1.03256869316	34.909088	-111.4387443	-1.99
